SR NO,POLICY NO,AGENT,PREMIUM(Rs),MODE,AGE,GENDER,M/ STATUS,DESIGNATION TYPE,TERM,PLAN TYPE,PAYMENT METHOD,STATUS
89,0016239303301,AG001226,"3,530",M,29,F,SINGLE,MIDDLE,30,MEDICAL,ONLINE,Inforce
90,0016132707401,AG001226,"10,168",Q,28,M,MARRIED,HIGHER,30,MEDICAL,DIRECT PAY,Inforce
91,0016133805901,AG001226,"10,118",Q,24,M,SINGLE,MIDDLE,30,MEDICAL,DIRECT PAY,Inforce
93,0001483707103,AG001226,"3,306",M,52,M,MARRIED,LOWER,17,PENSION,DIRECT PAY,Inforce
95,0013287009902,AG001226,"4,998",M,33,F,SINGLE,MIDDLE,22,MEDICAL,ONLINE,Inforce
96,0011124206202,AG001226,"2,257",M,29,M,MARRIED,HIGHER,30,EDUCATION,DIRECT PAY,Inforce
98,0008693901002,AG001226,"6,188",M,40,M,MARRIED,HIGHER,30,MEDICAL,DIRECT PAY,Inforce
100,0002404304004,AG001226,"5,012",M,53,F,MARRIED,HIGHER,27,INVESTMENT,STO,Inforce
101,0002203505902,AG001226,"1,307",M,47,M,MARRIED,LABOUR,16,EDUCATION,DIRECT PAY,Inforce
103,0009811603902,AG001226,"28,157",M,57,F,WIDOW,HIGHER,23,MEDICAL,STO,Inforce
105,0014831503301,AG001226,"5,572",M,34,M,SINGLE,HIGHER,20,MEDICAL,STO,Inforce
107,0006815900704,AG001226,"111,291",Y,55,M,MARRIED,HIGHER,20,MEDICAL,STO,Inforce
110,0006807107202,AG001226,"51,727",Y,36,M,SINGLE,LOWER,30,MEDICAL,DIRECT PAY,Inforce
112,0014455504901,AG001226,"8,999",M,26,M,SINGLE,HIGHER,30,MEDICAL,STO,Inforce
113,0002715305903,AG001226,"3,675",M,34,M,MARRIED,MIDDLE,20,PROTECTION,ONLINE,Inforce
117,0007130300002,AG001226,"2,440",M,31,F,SINGLE,MIDDLE,20,MEDICAL,STO,Inforce
123,0001173501706,AG001226,"4,270",M,43,M,MARRIED,HIGHER,20,MEDICAL,CHEQUE,Inforce
127,0014066603001,AG001226,"1,578",M,37,M,MARRIED,MIDDLE,30,EDUCATION,STO,Inforce
129,0012453804702,AG001226,"2,383",M,37,M,MARRIED,MIDDLE,20,EDUCATION,STO,Inforce
138,0013696606801,AG001226,"3,155",M,36,M,SINGLE,MIDDLE,25,PROTECTION,DIRECT PAY,Inforce
146,0009265602902,AG001226,"3,049",M,44,M,MARRIED,HIGHER,15,EDUCATION,STO,Inforce
153,0013287009901,AG001226,"2,644",M,33,F,SINGLE,MIDDLE,10,INVESTMENT,ONLINE,Inforce
158,0001306306204,AG001226,"1,006",M,37,M,MARRIED,MIDDLE,30,PROTECTION,ONLINE,Inforce
160,0013208506201,AG001226,"3,598",Q,41,F,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,Inforce
163,0012989105601,AG001226,"99,050",Y,34,M,SINGLE,HIGHER,15,INVESTMENT,DIRECT PAY,Inforce
173,0012946307501,AG001226,"5,064",M,28,M,SINGLE,LOWER,30,INVESTMENT,STO,Inforce
176,0007694601502,AG001226,"5,039",M,35,M,MARRIED,MIDDLE,30,INVESTMENT,ONLINE,Inforce
177,0010174505702,AG001226,"5,012",M,40,M,MARRIED,MIDDLE,30,INVESTMENT,DIRECT PAY,Inforce
181,0012656200001,AG001226,"2,504",M,33,M,SINGLE,LOWER,25,INVESTMENT,STO,Inforce
190,0012494806201,AG001226,"52,032",H,61,M,MARRIED,HIGHER,20,PROTECTION,STO,Inforce
193,0012453804701,AG001226,"3,008",M,37,M,MARRIED,MIDDLE,20,EDUCATION,STO,Inforce
210,0011770701701,AG001226,"1,971",M,33,M,SINGLE,LOWER,20,PROTECTION,STO,Inforce
212,0000366002703,AG001226,"5,218",M,39,M,MARRIED,HIGHER,17,INVESTMENT,STO,Inforce
222,0002103202503,AG001226,"2,345",M,34,M,SINGLE,LOWER,20,MEDICAL,STO,Inforce
229,0000209179405,AG001226,"5,467",M,53,M,MARRIED,HIGHER,29,INVESTMENT,STO,Inforce
230,0011186403201,AG001226,"1,232",M,36,M,SINGLE,MIDDLE,22,PROTECTION,DIRECT PAY,Inforce
232,0011107807801,AG001226,"2,707",M,39,F,MARRIED,HIGHER,30,INVESTMENT,STO,Inforce
233,0011074701501,AG001226,"4,195",M,44,F,MARRIED,HIGHER,20,MEDICAL,ONLINE,Inforce
234,0011124206201,AG001226,"5,103",M,39,M,MARRIED,HIGHER,20,EDUCATION,ONLINE,Inforce
251,0010814908001,AG001226,"1,599",M,41,F,MARRIED,MIDDLE,17,PROTECTION,DIRECT PAY,Inforce
254,0002386801702,AG001226,"2,032",M,48,F,MARRIED,MIDDLE,20,EDUCATION,DIRECT PAY,Inforce
257,0010654203101,AG001226,"1,185",M,54,F,MARRIED,LOWER,14,INVESTMENT,STO,Inforce
259,0005738002802,AG001226,"2,032",M,33,M,SINGLE,LOWER,25,INVESTMENT,STO,Inforce
260,0007031409002,AG001226,"28,050",Y,47,F,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,Inforce
274,0007222408801,AG001226,"258,878",Y,40,M,MARRIED,HIGHER,12,EDUCATION,ONLINE,Inforce
276,0009811603901,AG001226,"42,053",Y,57,F,WIDOW,HIGHER,22,MEDICAL,STO,Inforce
278,0005167904801,AG001226,"1,565",M,33,M,SINGLE,LOWER,20,PROTECTION,DIRECT PAY,Inforce
281,0006815900702,AG001226,"1,138",M,55,M,MARRIED,HIGHER,15,INVESTMENT,STO,Inforce
287,0000366002702,AG001226,"1,978",M,39,M,MARRIED,HIGHER,15,EDUCATION,STO,Inforce
295,0000405353205,AG001226,"13,826",H,43,M,MARRIED,HIGHER,19,EDUCATION,CHEQUE,Inforce
298,0000405353204,AG001226,"16,510",H,43,M,MARRIED,HIGHER,16,EDUCATION,CHEQUE,Inforce
299,0009843906302,AG001226,"1,665",M,46,M,MARRIED,HIGHER,13,EDUCATION,CHEQUE,Inforce
300,0009843906303,AG001226,"2,547",M,46,M,MARRIED,HIGHER,15,EDUCATION,CHEQUE,Inforce
301,0009843906301,AG001226,"1,678",M,46,M,MARRIED,HIGHER,18,EDUCATION,CHEQUE,Inforce
315,0009466503701,AG001226,"120,188",H,49,M,MARRIED,HIGHER,20,PROTECTION,CHEQUE,Inforce
317,0009452202201,AG001226,"2,147",M,40,M,MARRIED,LABOUR,24,INVESTMENT,STO,Inforce
320,0009277801001,AG001226,"77,823",H,48,M,MARRIED,HIGHER,20,INVESTMENT,STO,Inforce
323,0009265602901,AG001226,"2,570",M,44,M,MARRIED,HIGHER,15,EDUCATION,STO,Inforce
325,0009188200601,AG001226,"5,302",M,35,M,SINGLE,MIDDLE,20,MEDICAL,ONLINE,Inforce
348,0008693901001,AG001226,"2,478",M,40,M,MARRIED,HIGHER,20,EDUCATION,DIRECT PAY,Inforce
351,0002103202501,AG001226,708,M,34,M,SINGLE,LOWER,20,INVESTMENT,STO,Inforce
356,0007979400101,AG001226,"2,222",M,55,F,MARRIED,MIDDLE,20,INVESTMENT,STO,Inforce
358,0001918209402,AG001226,"8,000",M,40,M,MARRIED,MIDDLE,25,INVESTMENT,STO,Inforce
360,0007778100701,AG001226,"1,453",M,29,F,SINGLE,LABOUR,20,INVESTMENT,DIRECT PAY,Inforce
362,0000149728203,AG001226,"1,494",Y,63,F,MARRIED,LABOUR,17,INVESTMENT,STO,Inforce
366,0002203505901,AG001226,"1,334",M,47,M,MARRIED,LABOUR,15,EDUCATION,DIRECT PAY,Inforce
367,0007628007601,AG001226,"15,000",M,49,M,MARRIED,MIDDLE,16,EDUCATION,STO,Inforce
374,0002473207702,AG001226,"8,345",Q,39,M,MARRIED,HIGHER,20,INVESTMENT,DIRECT PAY,Inforce
380,0005113601103,AG001226,"5,000",M,34,M,SINGLE,MIDDLE,31,INVESTMENT,DIRECT PAY,Inforce
381,0007237609601,AG001226,"6,110",M,40,M,MARRIED,HIGHER,20,EDUCATION,STO,Inforce
384,0002185300102,AG001226,"10,000",M,46,M,SINGLE,LOWER,15,INVESTMENT,DIRECT PAY,Inforce
386,0005497203402,AG001226,"30,000",H,46,M,MARRIED,MIDDLE,30,INVESTMENT,DIRECT PAY,Inforce
387,0007089203901,AG001226,"40,000",Y,50,F,MARRIED,MIDDLE,30,INVESTMENT,DIRECT PAY,Inforce
392,0001033607502,AG001226,"40,000",Y,50,F,MARRIED,HIGHER,25,INVESTMENT,DIRECT PAY,Inforce
393,0006807107201,AG001226,"13,382",Y,36,M,SINGLE,MIDDLE,30,PROTECTION,DIRECT PAY,Inforce
394,0005288000403,AG001226,"11,964",Q,46,M,MARRIED,HIGHER,20,INVESTMENT,DIRECT PAY,Inforce
401,0000149728202,AG001226,"3,598",Q,63,F,SINGLE,MIDDLE,15,MEDICAL,STO,Inforce
403,0006543909001,AG001226,"5,000",M,42,M,MARRIED,HIGHER,24,MEDICAL,DIRECT PAY,Inforce
405,0000209179404,AG001226,"5,503",M,53,M,MARRIED,HIGHER,15,INVESTMENT,ONLINE,Inforce
408,0006257908001,AG001226,"5,000",M,54,F,MARRIED,MIDDLE,27,INVESTMENT,STO,Inforce
409,0006233109402,AG001226,"5,000",M,37,F,MARRIED,MIDDLE,34,INVESTMENT,STO,Inforce
410,0002400909202,AG001226,"10,000",M,37,M,MARRIED,MIDDLE,27,INVESTMENT,STO,Inforce
411,0006204305201,AG001226,"1,547",M,39,M,MARRIED,LOWER,20,PROTECTION,DIRECT PAY,Inforce
413,0006136608401,AG001226,"5,000",M,46,M,MARRIED,HIGHER,20,INVESTMENT,STO,Inforce
414,0000284636002,AG001226,"5,000",M,48,F,MARRIED,MIDDLE,28,INVESTMENT,DIRECT PAY,Inforce
417,0006043206201,AG001226,"10,000",M,52,F,MARRIED,MIDDLE,20,INVESTMENT,DIRECT PAY,Inforce
425,0001823604004,AG001226,"50,000",Y,41,F,MARRIED,LOWER,26,INVESTMENT,DIRECT PAY,Inforce
428,0000292126203,AG001226,"3,080",H,62,M,MARRIED,MIDDLE,15,EDUCATION,STO,Inforce
435,0005184808301,AG001226,"3,147",M,46,M,MARRIED,MIDDLE,15,EDUCATION,STO,Inforce
436,0002362805701,AG001226,"1,108",M,52,F,MARRIED,LABOUR,15,PENSION,DIRECT PAY,Inforce
438,0005151704801,AG001226,"1,182",M,36,M,SINGLE,LOWER,20,INVESTMENT,STO,Inforce
439,0002715305902,AG001226,"1,534",H,34,M,MARRIED,MIDDLE,20,INVESTMENT,ONLINE,Inforce
444,0002676008901,AG001226,"2,019",M,55,M,SINGLE,MIDDLE,15,INVESTMENT,DIRECT PAY,Inforce
445,0000304452802,AG001226,"1,876",M,61,F,MARRIED,MIDDLE,20,PROTECTION,STO,Inforce
446,0002572903201,AG001226,"2,874",M,55,M,MARRIED,LOWER,15,PROTECTION,STO,Inforce
448,0002502101101,AG001226,"1,521",M,54,M,MARRIED,LABOUR,15,EDUCATION,DIRECT PAY,Inforce
450,0002473207701,AG001226,"2,686",M,39,M,MARRIED,HIGHER,20,PROTECTION,DIRECT PAY,Inforce
451,0002473000101,AG001226,"1,252",M,59,M,MARRIED,MIDDLE,15,INVESTMENT,STO,Inforce
458,0002358404301,AG001226,"9,207",Q,58,M,MARRIED,LOWER,20,EDUCATION,DIRECT PAY,Inforce
459,0000403324605,AG001226,"1,000",M,40,M,SINGLE,LABOUR,28,INVESTMENT,STO,Inforce
460,0002291600301,AG001226,"7,527",Q,39,M,MARRIED,MIDDLE,20,EDUCATION,DIRECT PAY,Inforce
463,0002166305101,AG001226,"1,069",M,51,M,MARRIED,LABOUR,20,EDUCATION,DIRECT PAY,Inforce
470,0000695101102,AG001226,"1,851",Q,49,M,MARRIED,MIDDLE,20,EDUCATION,DIRECT PAY,Inforce
471,0001775505501,AG001226,"1,007",M,32,M,SINGLE,LABOUR,20,INVESTMENT,DIRECT PAY,Inforce
474,0001714905801,AG001226,"1,098",M,60,F,MARRIED,MIDDLE,20,EDUCATION,STO,Inforce
476,0001633000101,AG001226,"1,000",M,34,M,SINGLE,LABOUR,20,EDUCATION,DIRECT PAY,Inforce
477,0001611804601,AG001226,"2,000",Q,57,F,MARRIED,LABOUR,20,PENSION,DIRECT PAY,Inforce
478,0001483707101,AG001226,"3,628",Q,52,M,MARRIED,LOWER,20,PENSION,STO,Inforce
479,0001483709901,AG001226,"2,451",M,56,M,MARRIED,LOWER,20,PROTECTION,DIRECT PAY,Inforce
481,0001394103001,AG001226,"1,425",M,60,M,MARRIED,LABOUR,15,PROTECTION,DIRECT PAY,Inforce
484,0000292126202,AG001226,"1,689",M,62,M,MARRIED,MIDDLE,15,EDUCATION,STO,Inforce
486,0001180405901,AG001226,"1,006",M,47,M,MARRIED,MIDDLE,15,INVESTMENT,DIRECT PAY,Inforce
491,0001094308301,AG001226,"32,874",Y,52,F,MARRIED,LOWER,20,INVESTMENT,DIRECT PAY,Inforce
492,0001004901601,AG001226,"1,068",M,47,F,MARRIED,MIDDLE,20,EDUCATION,DIRECT PAY,Inforce
495,0000376262402,AG001226,"1,042",M,61,F,MARRIED,LOWER,15,EDUCATION,DIRECT PAY,Inforce
